svg,svg_id,label,status_text,status_color,modal_before,modal_after
Escenario7.svg,pez1,Pescado en Peligro de Extincion!,,#e50606,,
Escenario7.svg,meta1,Temporada Demasiado Larga! 20 dias,,#e50606,,
Escenario7.svg,barco1,Demasiados Barcos! Sin Restriccion,,#e50606,,
